factor,effect_abs,effect_rel_pct,overall_difficulty_mean
hidden_dim,0.24357608814700196,71.27460285456003,0.341743171328549
sampling,0.14974995742210062,43.81944395258517,0.341743171328549
generation_mode,0.13337325725378962,39.02733644546352,0.341743171328549
num_features,0.0797152360164215,23.326065508938566,0.341743171328549
num_causes,0.07970957281687036,23.32440835818143,0.341743171328549
sort_features,0.0689804204465399,20.184871632803663,0.341743171328549
train_size,0.0622628272472297,18.21918694239855,0.341743171328549
first_nonlinearity,0.05635486213815305,16.490413522842264,0.341743171328549
per_layer_activation,0.05174177446881889,15.140543779607754,0.341743171328549
init_std,0.05030600709132926,14.720413255299693,0.341743171328549
in_clique,0.034456416281899604,10.082547120970414,0.341743171328549
y_is_effect,0.03213961070256466,9.404609484256794,0.341743171328549
seq_len,0.03096696052113057,9.061471631091992,0.341743171328549
noise_std,0.02539711083134516,7.431636668148254,0.341743171328549
num_layers,0.020979918066630576,6.139089183573082,0.341743171328549
