condition_id,difficulty_pmse,difficulty_pmse_std,n_models,seq_len,train_size,num_features,num_causes,num_layers,hidden_dim,generation_mode,y_is_effect,in_clique,sort_features,first_nonlinearity,per_layer_activation,noise_std,init_std,sampling
0,0.10050965048911861,0.08608298274197179,8,512,0.5,20,20,2,16,head,False,False,False,tanh,False,0.03,0.5,uniform
1,0.6694725993371295,0.048466735132394155,8,512,0.7,10,20,2,64,head,True,False,True,relu,True,0.03,1.2,normal
2,0.4450776106477978,0.03485362118073347,8,256,0.7,10,10,2,64,roots,True,True,True,relu,False,0.03,0.5,normal
3,0.6152524153862673,0.08893960668300481,8,256,0.7,10,10,5,64,roots,True,False,False,gelu,True,0.005,1.2,normal
4,0.2007761121743462,0.05273628952900988,8,512,0.5,10,20,2,64,head,False,False,False,relu,True,0.03,0.5,uniform
5,0.4578458834911907,0.1952834223396164,8,256,0.5,20,20,5,16,roots,True,False,True,relu,False,0.03,0.5,uniform
6,0.2204489578052219,0.1605643648147181,8,512,0.5,20,10,2,64,head,True,True,False,relu,True,0.03,1.2,uniform
7,0.14712018553727935,0.05878805206350721,8,256,0.7,20,10,2,64,head,True,True,False,tanh,False,0.03,0.5,normal
8,0.5889200786047919,0.06779487668639167,8,256,0.7,10,20,5,64,causal,True,True,False,tanh,True,0.005,1.2,uniform
9,0.4054541341405207,0.06845711676491491,8,256,0.5,20,10,2,64,head,True,False,True,tanh,True,0.005,1.2,normal
10,0.5144476701846938,0.03461857365162355,8,512,0.7,10,10,5,64,head,False,False,False,relu,True,0.005,0.5,uniform
11,0.4099659428040749,0.08712700845968874,8,256,0.7,20,20,2,64,causal,False,False,False,gelu,False,0.005,0.5,uniform
12,0.7527751082720395,0.09499119300625439,8,256,0.5,20,20,5,64,roots,False,False,True,gelu,False,0.005,0.5,normal
13,0.11135389687705946,0.08008838747750754,8,256,0.5,10,10,5,16,head,True,False,False,relu,False,0.03,0.5,normal
14,0.622945697667761,0.05342761587347357,8,512,0.7,10,10,5,16,roots,True,False,False,tanh,True,0.03,1.2,uniform
15,0.4670662140491839,0.026318217145390458,8,256,0.7,10,10,5,64,causal,True,True,False,tanh,False,0.03,1.2,uniform
16,0.10438775874422218,0.04466752522147474,8,512,0.7,10,10,2,16,causal,False,False,False,tanh,False,0.005,1.2,uniform
17,0.11127481933702685,0.06981280077459605,8,256,0.5,10,20,5,16,head,True,True,False,tanh,False,0.005,1.2,normal
18,0.6996370976110053,0.0633011001518451,8,512,0.7,20,20,5,16,roots,True,False,False,gelu,False,0.005,0.5,normal
19,0.2923328571742993,0.0598661949027449,8,512,0.7,10,10,2,64,roots,False,False,True,relu,True,0.03,0.5,normal
20,0.06611976396851311,0.05987584053418539,8,512,0.5,20,10,5,16,causal,True,True,False,relu,False,0.03,1.2,uniform
21,0.308570837712667,0.08260732682458043,8,512,0.5,20,10,2,64,causal,True,True,True,gelu,True,0.03,0.5,normal
22,0.5062701664226931,0.17029595619762525,8,256,0.5,20,20,2,64,causal,True,False,False,tanh,False,0.03,1.2,uniform
23,0.14122533439465335,0.07939112973909002,8,512,0.7,10,20,2,16,head,True,True,False,relu,False,0.03,0.5,uniform
